date,perlis,kedah,penang,perak,selangor,kl,putrajaya,ns,melaka,kelantan,terengganu,pahang,johor,sabah,labuan,sarawak
03/07/2021,15401,126407,163922,173406,991181,292983,43812,109014,80331,80004,73385,106444,335537,128524,29596,240630
03/08/2021,17832,146849,186673,197729,1408115,324097,44548,122639,90502,90544,83476,118974,377984,146762,30035,271719
03/09/2021,49454,253417,207514,220572,1481242,351268,45435,125284,99852,100574,92006,131516,500288,164762,30379,298352
03/10/2021,51144,267452,226690,240183,1521636,372974,46192,146443,170734,141423,210933,142349,613464,179855,30670,318503
03/11/2021,30792,253668,355970,345922,1528981,473964,37847,209319,159990,136100,128801,193951,661639,219075,17779,410353
03/12/2021,31670,259287,364699,353967,1551923,481624,38369,212902,163235,138675,130817,198449,672565,225263,18087,418435
03/13/2021,32513,265031,375510,362594,1573649,488073,38826,216776,166943,141287,132991,202768,683613,230966,18391,426039
03/14/2021,33237,270591,383914,370888,1597658,495036,39220,220684,170392,143721,135106,207154,695699,236398,18671,432975
03/15/2021,33728,275534,391573,378022,1617617,501373,39523,223979,172848,145816,137079,210681,706873,241492,18888,439088
03/16/2021,35456,288837,410841,395944,1668544,516956,40559,233024,180129,151580,142145,219796,732516,254823,19504,451918
03/17/2021,36650,296902,421439,406380,1699201,525931,41190,238453,184334,155330,145195,226026,748042,262562,19853,460009
03/18/2021,37444,302722,429579,413843,1720352,532032,41662,242286,187290,157824,148107,230182,759080,267386,20118,466037
03/19/2021,37981,306406,434706,419451,1735694,536591,41989,245149,189708,159780,150392,233373,766946,271049,20311,470832
03/20/2021,38425,309921,439427,424758,1752233,541489,42291,247803,191823,161627,152322,236414,775342,274438,20507,475768
03/21/2021,38868,313954,444185,430064,1770096,546646,42643,250633,194203,163895,155440,240080,784690,277609,20780,481427
03/22/2021,40084,324000,456623,445256,1816530,559915,43629,258864,201039,170204,162347,248057,806668,285077,21313,497199
03/23/2021,40709,329979,463911,454008,1843619,568047,44247,263861,205218,173820,166106,252662,820260,290094,21709,504262
03/24/2021,41263,334989,470010,461014,1865429,574397,44770,267861,208459,177125,169262,256248,832410,294568,22003,509898
03/25/2021,47089,369285,489487,500842,1926232,590882,46205,289643,222304,200988,185903,281803,887550,310329,22816,552979
03/26/2021,48415,380251,500301,515419,1963896,602927,46548,297408,228956,207851,191704,289000,911174,319679,23296,567659
03/27/2021,48862,383966,504688,520616,1979666,607531,46772,300202,231460,209991,193911,261699,920460,323556,23459,574339
03/28/2021,49256,388775,509889,526573,1996905,612914,46974,303088,233776,212950,196684,294331,930979,327067,23607,581668
03/29/2021,50002,395680,515886,533850,2019244,619129,47412,306687,236805,216568,200368,297833,942337,332048,23840,591921
03/30/2021,50643,402287,522136,541384,2038897,625045,47866,311531,240057,220335,203970,301304,952888,336997,24068,602250
03/31/2021,51585,407819,527763,547022,2055553,629907,48384,314717,242810,223871,206695,304627,962169,341745,24283,612144
04/01/2021,52839,415693,536042,556938,2085983,637680,49235,320715,248049,229789,210843,310299,976375,347967,24661,622370
04/02/2021,54248,424424,545325,568307,2123248,647485,50221,328038,253935,236447,215558,317046,992618,355202,25170,632117
04/03/2021,54512,426857,547707,572130,2132502,650194,50413,329726,255770,238043,216917,318677,997564,357247,25313,635213
04/04/2021,55129,434227,554150,580043,2155809,656547,50748,333781,259404,242954,220818,322638,1010573,362514,25537,642041
04/05/2021,55957,442192,560325,587514,2175681,662106,51404,338141,263009,247526,224497,326546,1021246,368829,25952,649657
04/06/2021,57338,452808,570449,599698,2209716,671846,52345,344930,268827,255181,229936,333233,1038985,379193,26541,663564
04/07/2021,57904,458557,575541,606716,2224996,676838,52850,348313,272180,259412,233290,336584,1047836,385423,26824,672428
04/08/2021,58376,463484,580711,612518,2237971,681289,53352,351687,275213,262662,235952,339772,1055827,390638,27067,682961
04/09/2021,59793,467697,584986,617740,2250428,685379,53670,354261,277725,265588,237701,342887,1063079,394989,27333,686498