date,dose1_perlis,dose2_perlis,dose1_kedah,dose2_kedah,dose1_penang,dose2_penang,dose1_perak,dose2_perak,dose1_selangor,dose2_selangor,dose1_kl,dose2_kl,dose1_putrajaya,dose2_putrajaya,dose1_ns,dose2_ns,dose1_melaka,dose2_melaka,dose1_kelantan,dose2_kelantan,dose1_terengganu,dose2_terengganu,dose1_pahang,dose2_pahang,dose1_johor,dose2_johor,dose1_sabah,dose2_sabah,dose1_labuan,dose2_labuan,dose1_sarawak,dose2_sarawak
03/03/2021,1598,0,4388,0,2914,0,7757,0,4276,0,8505,0,1507,0,3101,0,2752,0,7725,0,4566,0,7415,0,6454,0,1898,0,1789,0,13691,0
03/04/2021,1896,0,5171,0,4034,0,8844,0,6483,0,10970,0,2054,0,4332,0,3740,0,10941,0,4570,0,8546,0,8470,0,3492,0,1939,0,14134,0
03/05/2021,2223,0,5306,0,5052,0,9892,0,8899,0,11266,0,2290,0,4864,0,4312,0,11680,0,4572,0,10599,0,8802,0,6229,0,2073,0,14855,0
03/06/2021,2223,0,5414,0,5172,0,10678,0,11982,0,11266,0,2290,0,4864,0,4312,0,11680,0,4675,0,13830,0,9515,0,9515,0,2158,0,18034,0
03/07/2021,2223,0,6269,0,5292,0,10678,0,12336,0,11267,0,2290,0,4864,0,4312,0,11927,0,6932,0,14473,0,10719,0,11739,0,2259,0,22140,0
03/08/2021,3062,0,9358,0,6487,0,12952,0,15357,0,13681,0,2573,0,5981,0,4411,0,13149,0,9081,0,15521,0,13746,0,13474,0,2259,0,25271,0
03/09/2021,4158,0,11638,0,7781,0,15881,0,19251,0,16887,0,2941,0,8385,0,5365,0,14185,0,11261,0,16342,0,15843,0,16245,0,2260,0,27500,0
03/10/2021,5241,0,14200,0,9811,0,17450,0,24211,0,20510,0,3337,0,10741,0,6258,0,14982,0,13070,0,17434,0,17476,0,18670,0,2338,0,28194,0
03/11/2021,6006,0,15834,0,12608,0,21160,0,29208,0,25190,0,3733,0,10801,0,7126,0,15339,0,13070,0,19314,0,19559,0,20411,0,2338,0,28212,0
03/12/2021,6591,0,16546,0,15459,0,28463,0,33163,0,28244,0,3827,0,12197,0,7733,0,15339,0,13070,0,21841,0,20276,0,21708,0,2342,0,29052,0
03/13/2021,6807,0,17114,0,16255,0,31675,0,35620,0,28244,0,3827,0,12209,0,7963,0,15339,0,13070,0,25128,0,21835,0,24042,0,2342,0,30634,0
03/14/2021,6807,0,18539,0,16758,0,33036,0,36163,0,28244,0,3827,0,12209,0,7963,0,15411,0,14137,0,25325,0,22965,0,26446,0,2342,0,31527,0
03/15/2021,7276,0,21171,0,18465,0,34666,0,38632,0,29937,0,4165,0,12865,0,8251,0,15877,0,14949,0,25525,0,24749,0,30433,0,2342,0,32028,0
03/16/2021,8038,0,23871,0,20393,0,39404,0,41913,0,31740,0,4383,0,14489,0,9120,0,16541,0,15725,0,25933,0,26185,0,33966,0,2342,0,32465,0
03/17/2021,8795,0,25492,0,22037,0,42227,0,45854,0,33500,0,4611,0,15958,0,9954,0,17904,0,15726,0,26574,0,27131,0,36443,0,2342,0,32665,0
03/18/2021,9519,1,25958,0,23485,0,45138,173,49521,41,34778,287,4601,66,17006,0,10543,30,18617,1,15726,0,27480,118,28489,74,38369,0,2342,1,32762,0
03/19/2021,9526,154,26259,6,24996,328,47056,475,52412,369,35751,565,4601,85,17279,0,10716,187,18617,1,15726,6,28977,781,28510,74,39331,0,2342,1,32907,1487
03/20/2021,9526,156,26265,6,26879,328,48136,713,52971,369,35751,565,4601,85,17279,0,10716,187,18977,0,15726,6,30320,2549,29238,74,40134,591,2343,127,33788,4848
03/21/2021,9526,156,26271,719,28316,328,48689,829,53566,369,35751,565,4601,85,17279,0,10716,187,19339,148,17377,432,33227,2644,29901,810,40168,890,2343,471,35272,7735
03/22/2021,9526,504,26287,1896,29568,721,49053,2363,55763,1017,36616,2722,4605,519,17884,530,10727,367,19716,1879,19090,442,33257,3677,30868,2609,40842,1167,2343,911,35913,9537
03/23/2021,9526,1037,26293,3138,30394,1721,49451,5337,58552,2174,37254,4894,4612,991,19639,1802,10875,1443,19734,4647,19698,2406,33317,5793,31451,3271,41125,1525,2344,1276,36103,10166
03/24/2021,9530,1561,26310,4469,31189,2756,49528,7197,60521,4224,37617,7769,4621,1469,21017,2942,11094,2545,19755,7922,20055,4601,33320,7162,32126,5666,41415,1796,2345,1567,36244,10643
03/25/2021,9533,1853,26316,5009,31740,3855,49535,8164,62418,6355,38645,10662,4622,2010,21833,4140,11248,3544,19802,10726,20503,4649,33399,8639,33061,7955,41738,3220,2346,1759,36385,11017
03/26/2021,9533,2157,26316,5144,31802,4752,49541,9081,63640,8663,39622,10890,4695,2234,22212,4643,11381,4103,19812,11411,20503,4649,33457,9471,33553,8274,41758,5450,2347,1909,36445,12100
03/27/2021,9533,2157,26316,5238,31802,4866,49545,9760,63675,11370,39622,10890,4695,2234,22212,4643,11672,4103,19812,11411,20503,4649,33463,12283,34000,8935,42018,8352,2347,1987,36972,15135
03/28/2021,9533,2157,26355,6007,31802,4977,49545,9760,63675,11642,39622,10890,4695,2234,22212,4643,11963,4103,19815,11604,21403,6809,33466,12889,35303,9991,42030,10193,2347,2066,37889,19145
03/29/2021,9581,2978,27257,8825,32119,6186,49349,12219,65313,14957,41747,13040,4863,2528,22451,5900,11858,4212,20873,13438,22622,8984,33571,14582,36391,12661,44516,14439,2390,2132,37006,22429
03/30/2021,9592,4035,28209,11139,32215,7507,49359,14962,67128,18720,44110,15520,4867,2894,22936,8233,12184,5127,21589,14457,23304,11219,33573,15627,36992,15036,44858,17218,2390,2156,39970,24535
03/31/2021,9840,4465,29089,13650,32425,9330,49365,16669,67931,23515,44499,19226,4873,3295,23325,10539,12906,6024,22149,15234,23887,13039,33588,16550,37494,16497,45185,19839,2390,2287,43862,25236
04/01/2021,9846,5610,30316,15300,33045,11563,49996,20717,69852,28616,44702,23899,5233,3682,24690,10620,13758,6857,22596,15618,24516,13237,33693,18507,39624,18696,46023,21262,2499,2287,48079,25287
04/02/2021,9855,6455,30536,15698,33561,14191,50307,26662,71389,32258,44925,26635,5420,3774,24867,12029,14525,7484,22680,15618,24516,13237,34109,20645,40088,19423,46202,22542,2607,2318,50482,25615
04/03/2021,9858,6668,30550,16130,33613,14946,50334,29412,71403,34716,44925,26637,5420,3774,24874,12041,14633,7712,22680,15618,24516,13237,34109,23502,40227,20974,46459,24737,2723,2319,52157,26600
04/04/2021,9858,6668,31115,17493,33688,15431,50378,30793,71405,35255,44925,26637,5421,3774,24874,12041,14633,7712,22717,15703,25167,14224,34758,23705,42214,22138,46562,26563,2723,2319,53598,27281
04/05/2021,9863,6820,31324,19925,33964,17483,51149,32132,72666,38018,46179,28005,5684,4115,25248,12921,14885,8027,23470,16192,25828,14987,34836,24373,43917,23643,47071,30198,2805,2319,54344,27645
04/06/2021,10001,6854,32089,22579,34096,19731,51469,34035,73433,41043,47251,29341,5899,4325,26841,14049,15117,8868,24537,16850,26180,15787,34842,25032,45284,25155,49203,33814,2912,2319,55037,28472
04/07/2021,10001,6884,32556,24046,34218,21665,52032,34235,74659,44776,49114,30421,6204,4535,27988,15565,15731,9663,24882,18233,26428,15793,35174,25676,47250,26171,50918,36956,3020,2319,56587,29332
04/08/2021,10001,6920,32836,24621,35085,23131,52548,34436,75225,48493,51100,32141,6767,4541,29263,16850,16241,10230,25293,18951,26557,15805,35469,26248,49401,27323,52322,39089,3176,2319,57466,29873
04/09/2021,10016,8026,33449,24698,35728,24862,52639,37884,76273,51383,52110,33603,7222,4541,29765,17160,16566,10419,25293,18951,26557,15805,36049,28110,49401,27323,53859,40162,3331,2319,57682,30014